created_at,full_text,sentiment
2023-09-24 03:59:53+00:00,"['gue', 'kasian', 'kuping', 'mbak', 'translator', 'asuransi', 'kesehatan', 'telinga', 'kalo', 'translator', 'suju', 'asuransi', 'kesehatan', 'jiwa', 'emang', 'kudu', 'ya', 'translator']",2
2023-09-24 03:53:01+00:00,"['kerjaan', 'enak', 'deket', 'suami', 'amp', 'keluarga', 'gaji', 'umr', 'asuransi', 'kesehatan', 'dr', 'kantor', 'atasan', 'baek', 'selow', 'kalo', 'rekan', 'kerja', 'ngga', 'mikirin', 'sih', 'niat', 'kerja', 'cari', 'uang', 'yg', 'abaikan']",2
2023-09-24 03:32:30+00:00,"['umr', 'plus', 'bonus', 'asuransi', 'kesehatan']",0
2023-09-24 01:30:32+00:00,"['bacakan', 'tanda', 'bintang', 'syarat', 'ketentuan', 'berlaku', 'spt', 'wajib', 'pnya', 'asuransi', 'kesehatan', 'jiwa', 'warisan', 'trsembunyi', 'dr', 'istri', 'anak', 'sah', 'sbesar', 'x', 'milyar', 'kondisi', 'kesehatan', 'kanker', 'stadium', 'jantung', 'ring']",1
2023-09-23 17:39:04+00:00,"['buatin', 'akun', 'dana', 'pensiun', 'orang', 'tua', 'aja', 'nder', 'kalo', 'ortumu', 'gamau', 'dikasih', 'beliin', 'asuransi', 'kesehatan', 'kalo', 'buka', 'rekening', 'liburan', 'keluarga', 'ngasih', 'orang', 'tua', 'ga', 'kalo', 'ngebahagiain', 'orang', 'tua']",2
2023-09-23 15:33:48+00:00,"['tenang', 'asuransi', 'wajibkan', 'jalani', 'pemeriksaan', 'kesehatan', 'yuk', 'bahas', 't', 'co', 'gxzrmhl']",2
2023-09-23 15:12:25+00:00,"['bpjs', 'mas', 'darurat', 'ditangani', 'sorry', 'mas', 'perjuangan', 'kesehatan', 'privilege', 'kaya', 'mas', 'asuransi', 'perjuangan', 'miskin', 'merelakan']",2
2023-09-23 14:30:06+00:00,"['generasi', 'milenial', 'membutuhkan', 'asuransi', 'kesehatan', 't', 'co', 'qcjfhja']",1
2023-09-23 14:29:42+00:00,"['semenjak', 'nikah', 'sadar', 'ndo', 'klo', 'kebutuhan', 'banget', 'ya', 'rumah', 'kendaraan', 'jalan', 'makan', 'sekolah', 'aja', 'sd', 'kuliah', 'nabung', 'invest', 'kesehatan', 'aja', 'klo', 'ga', 'dpt', 'asuransi', 'kesehatan', 'dr', 'kantor', 'kayanya', 'keteteran', 'bgt']",4
2023-09-23 11:53:21+00:00,"['tenaga', 'kesehatan', 'kebumen', 'cocok', 'konsul', 'serius', 'ya', 'purwokerto', 'dokternya', 'enak', 'enak', 'pakai', 'bpjs', 'alhamdulillah', 'perlakuan', 'asuransi', 'swasta', 'jg', 'kantor']",2
